conversation_id,persona_id,persona_name,persona_group,persona_volatility,num_turns,avg_drift,total_distance,drift_variance
art_3_10,0,Stoic Regulator,suppressive,low,10,0.105138786,0.94624907,0.007090268
art_3_10,1,Calm Reflective,suppressive,low,10,0.15307504,1.3776754,0.016923748
art_3_10,2,Detached Observer,suppressive,low,10,0.04338158,0.3904342,0.0018076344
art_3_10,3,Rational Analyzer,suppressive,low,10,0.077788696,0.7000983,0.004427503
art_3_10,4,Emotionally Volatile,reactive,high,10,0.29119766,2.620779,0.07123966
art_3_10,5,Highly Sensitive,reactive,high,10,0.3759323,3.3833907,0.104290746
art_3_10,6,Easily Overwhelmed,reactive,high,10,0.20633246,1.8569921,0.034049813
art_3_10,7,Impulsive Reactor,reactive,high,10,0.32570422,2.9313378,0.08303168
art_3_10,8,Optimistic Interpreter,positive,medium,10,0.29209176,2.628826,0.054707773
art_3_10,9,Gratitude Focused,positive,medium,10,0.13924463,1.2532017,0.014767107
art_3_10,10,Hope Oriented,positive,medium,10,0.23363082,2.1026773,0.03530057
art_3_10,11,Reward Seeker,positive,medium,10,0.021442717,0.19298445,0.0002798365
art_3_10,12,Negative Anticipator,negative,medium,10,0.2351709,2.116538,0.0408684
art_3_10,13,Critical Evaluator,negative,medium,10,0.13691734,1.232256,0.014304451
art_3_10,14,Self Demanding,negative,medium,10,0.057252698,0.5152743,0.0030217543
art_3_10,15,Threat Aware,negative,medium,10,0.19802302,1.7822071,0.0285852
art_3_10,16,Emotionally Balanced,balanced,medium,10,0.07212489,0.649124,0.0030870817
art_3_10,17,Empathy Driven,balanced,medium,10,0.4487464,4.0387177,0.1129562
art_3_10,18,Socially Sensitive,balanced,medium,10,0.2113721,1.902349,0.0339051
art_3_10,19,Cautious Processor,balanced,medium,10,0.07240873,0.65167856,0.003085181
art_40_8,0,Stoic Regulator,suppressive,low,10,0.10497652,0.9447887,0.007065872
art_40_8,1,Calm Reflective,suppressive,low,10,0.15280461,1.3752415,0.016833063
art_40_8,2,Detached Observer,suppressive,low,10,0.043230295,0.38907266,0.0017850234
art_40_8,3,Rational Analyzer,suppressive,low,10,0.077488594,0.69739735,0.0043564127
art_40_8,4,Emotionally Volatile,reactive,high,10,0.2906291,2.6156619,0.070770286
art_40_8,5,Highly Sensitive,reactive,high,10,0.37528765,3.377589,0.10393569
art_40_8,6,Easily Overwhelmed,reactive,high,10,0.20594725,1.8535253,0.03383731
art_40_8,7,Impulsive Reactor,reactive,high,10,0.32512295,2.9261065,0.08267071
art_40_8,8,Optimistic Interpreter,positive,medium,10,0.29177624,2.625986,0.0546641
art_40_8,9,Gratitude Focused,positive,medium,10,0.1389162,1.2502457,0.014677222
art_40_8,10,Hope Oriented,positive,medium,10,0.23315263,2.0983737,0.035110727
art_40_8,11,Reward Seeker,positive,medium,10,0.021518223,0.19366401,0.00028597494
art_40_8,12,Negative Anticipator,negative,medium,10,0.23478113,2.1130302,0.0407118
